,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
29,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.625,0,0.375,0.625,0.25,0.125,0.625,0.125,0.25,0.375,0.25,0.375,0.375,0.25,0.375,0.375,0.375,0.25,0.125,0.5,0.375,0.125,0.75,0.125,0.25,0.375,0.375,0.25,0.25,0.5
30,0.692307692,0,0.307692308,0.538461538,0.153846154,0.307692308,0.538461538,0.153846154,0.307692308,0.692307692,0,0.307692308,0.692307692,0.307692308,0,0.692307692,0,0.307692308,0.692307692,0,0.307692308,0.076923077,0.769230769,0.153846154,0.307692308,0,0.692307692,0.076923077,0.769230769,0.153846154,0.153846154,0.461538462,0.384615385,0.923076923,0,0.076923077,0.307692308,0.692307692,0
31,0.2,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.2,0.2,0.6,0.4,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.6,0.4,0.4,0.2,0.6,0.2,0.2,0.2,0.6,0.2,0,0.8,0.2,0.2,0.6,0.2,0.6,0.2,0.2
32,0.333333333,0.5,0.166666667,0.333333333,0.333333333,0.333333333,0.5,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,0.166666667,0.166666667,0.666666667,0.166666667,0.166666667,0.166666667,0.5,0.333333333,0.5,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.166666667,0.5,0.333333333,0.166666667,0.833333333,0,0.166666667,0.333333333,0.5,0.333333333,0.333333333,0.333333333
33,0.5,0.333333333,0.166666667,0.333333333,0.166666667,0.5,0.5,0,0.5,0.666666667,0.166666667,0.166666667,0.833333333,0,0.166666667,0.833333333,0,0.166666667,0.333333333,0.5,0.166666667,0.333333333,0.333333333,0.333333333,0.166666667,0.333333333,0.5,0,0.666666667,0.333333333,0.166666667,0.833333333,0,0.333333333,0.166666667,0.5,0.166666667,0.5,0.333333333
34,0.583333333,0.083333333,0.333333333,0.666666667,0.083333333,0.25,0.666666667,0.083333333,0.25,0.583333333,0.083333333,0.333333333,0.666666667,0.25,0.083333333,0.583333333,0.083333333,0.333333333,0.583333333,0.083333333,0.333333333,0.166666667,0.833333333,0,0.333333333,0.083333333,0.583333333,0.083333333,0.916666667,0,0,0.416666667,0.583333333,0.833333333,0.083333333,0.083333333,0.416666667,0.583333333,-1.11E-16
35,0,1,0,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,1,0,0.5,0.5,0,0,0,1,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0,1,0,0.5,0.5,0,0.5,0,0.5
36,0,0.25,0.75,0,0.75,0.25,0,0.75,0.25,0,0.25,0.75,0,0.75,0.25,0.25,0,0.75,0,0,1,0.25,0.25,0.5,0.75,0,0.25,0,0.5,0.5,0,1,0,0.75,0.25,0,0.5,0,0.5
37,0.222222222,0.666666667,0.111111111,0.333333333,0.333333333,0.333333333,0.555555556,0.111111111,0.333333333,0.555555556,0.222222222,0.222222222,0.555555556,0.444444444,0,0.444444444,0.444444444,0.111111111,0.333333333,0.222222222,0.444444444,0.555555556,0.222222222,0.222222222,0.222222222,0.555555556,0.222222222,0.444444444,0.333333333,0.222222222,0.111111111,0.777777778,0.111111111,0.555555556,0.222222222,0.222222222,0.333333333,0.222222222,0.444444444
38,0.142857143,0.428571429,0.428571429,0.285714286,0.428571429,0.285714286,0.285714286,0.428571429,0.285714286,0.428571429,0,0.571428571,0.428571429,0.571428571,0,0.428571429,0.142857143,0.428571429,0.142857143,0.285714286,0.571428571,0.428571429,0.142857143,0.428571429,0.571428571,0.285714286,0.142857143,0.285714286,0.285714286,0.428571429,0,0.857142857,0.142857143,0.285714286,0.428571429,0.285714286,0.142857143,0.142857143,0.714285714
39,0.714285714,0.142857143,0.142857143,0.285714286,0.571428571,0.142857143,0.428571429,0.428571429,0.142857143,0.571428571,0.285714286,0.142857143,0.714285714,0.142857143,0.142857143,0.857142857,0,0.142857143,0.714285714,0,0.285714286,0.142857143,0.142857143,0.714285714,0.142857143,0,0.857142857,0.142857143,0.142857143,0.714285714,0.428571429,0.285714286,0.285714286,0.714285714,0.142857143,0.142857143,0.142857143,0.714285714,0.142857143
40,0.625,0.25,0.125,0.5,0.375,0.125,0.625,0.25,0.125,0.5,0.375,0.125,0.75,0.125,0.125,0.75,0.125,0.125,0.5,0.25,0.25,0.25,0.25,0.5,0.125,0.125,0.75,0.25,0.25,0.5,0.25,0.5,0.25,0.5,0.125,0.375,0.25,0.625,0.125
41,0,0.75,0.25,0,0,1,0,0,1,0.25,0,0.75,0.25,0.75,0,0.75,0,0.25,0,0.25,0.75,0.25,0.25,0.5,0.75,0.25,0,0,0.5,0.5,0,1,0,0.25,0.5,0.25,0.25,0,0.75
42,0,0.75,0.25,0,0,1,0,0,1,0.25,0,0.75,0.25,0.75,0,0.75,0,0.25,0,0.25,0.75,0.25,0.25,0.5,0.75,0.25,0,0,0.5,0.5,0,1,0,0.25,0.5,0.25,0.25,0,0.75
43,0,0.75,0.25,0,0,1,0,0,1,0.25,0,0.75,0.25,0.75,0,0.75,0,0.25,0,0.25,0.75,0.25,0.25,0.5,0.75,0.25,0,0,0.5,0.5,0,1,0,0.25,0.5,0.25,0.25,0,0.75
44,0,1,0,0,0,1,0,0,1,0.333333333,0,0.666666667,0.333333333,0.666666667,1.11E-16,1,0,0,0,0.333333333,0.666666667,0.333333333,0,0.666666667,0.666666667,0.333333333,5.55E-17,0,0.333333333,0.666666667,0,1,0,0,0.666666667,0.333333333,0,0,1
45,0,0.666666667,0.333333333,0,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0,0.666666667,0.333333333,0,1,0,0.333333333,0.333333333,0.333333333,0,0,1,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,1,0,1,0,0,0.666666667,0,0.333333333
