,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
14,0.25,0,0.125,0.25,0,0.25,0,0.25,0,0.25,0.25,0.25,0.375,0.125,0.125,0.25,0.125,0,0,0.25,0.25,0.25,0.25,0.125,0.375,0.125,0.125,0.125,0.125,0.25,0.125,0.125,0.125,0.375,0,0.25,0.125,0.25,0.125
15,0.1,0.1,0.5,0.1,0.3,0.1,0.2,0.5,0,0.1,0.3,0.3,0.3,0.1,0.1,0.3,0.1,0.4,0,0.4,0,0.3,0.3,0,0.5,0.1,0.1,0.3,0.3,0,0,0,0.2,0,0.2,0.2,0.1,0.5,0.1
16,0.111111111,0,0.555555556,0.222222222,0.222222222,0.222222222,0.333333333,0.333333333,0.111111111,0.333333333,0.222222222,0.333333333,0.222222222,0.333333333,0.111111111,0.333333333,0.222222222,0.333333333,0.111111111,0,0.555555556,0.222222222,0.444444444,0.111111111,0.555555556,0,0.111111111,0.444444444,0.222222222,0.333333333,0.111111111,0,0,0.111111111,0.222222222,0.444444444,0.111111111,0.444444444,0
17,0,0,1,0,0,0.2,0,0,0.2,0,0.8,0.2,0.8,0,0,0,1,0,0,0,0.8,0.8,0,0.2,0.8,0.2,0,0,0,0.2,0,0,0,0,0.8,0,0,1,0
18,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5
19,0.111111111,0.111111111,0.444444444,0.111111111,0.222222222,0.111111111,0.111111111,0.222222222,0.111111111,0.222222222,0.444444444,0.111111111,0.222222222,0.333333333,0,0.333333333,0.555555556,0,0.111111111,0.111111111,0.444444444,0.222222222,0.333333333,0.111111111,0.444444444,0.111111111,0.111111111,0.222222222,0.111111111,0.333333333,0.222222222,0,0,0.111111111,0.111111111,0.444444444,0.222222222,0.666666667,0
20,0.333333333,0.066666667,0.333333333,0.066666667,0.333333333,0.266666667,0.066666667,0.4,0.2,0.133333333,0.533333333,0.066666667,0.466666667,0.2,0.066666667,0.266666667,0.333333333,0.066666667,0.066666667,0.466666667,0.2,0.2,0.266666667,0.2,0.333333333,0.266666667,0.133333333,0.133333333,0.2,0.266666667,0.266666667,0,0,0.333333333,0.133333333,0.266666667,0.133333333,0.333333333,0.266666667
21,0.166666667,0.166666667,0.5,0,0.333333333,0.333333333,0,0.333333333,0.333333333,0,0.666666667,0,0.166666667,0.5,0,0,0.666666667,0,0,0.333333333,0.333333333,0.333333333,0,0.333333333,0.333333333,0.333333333,0,0,0,0.333333333,0,0,0,0.5,0,0.333333333,0.166666667,0.5,0.166666667
22,0.125,0.125,0.125,0.25,0.25,0.25,0.125,0.375,0.125,0.375,0.125,0.125,0.375,0.125,0,0.375,0.125,0.125,0.125,0.125,0.375,0.125,0.125,0,0.125,0.125,0.125,0.375,0.125,0,0,0,0.25,0.125,0.25,0.25,0.125,0.375,0.125
23,0,0,0.5,0.166666667,0.5,0,0.166666667,0.5,0,0.333333333,0.333333333,0.166666667,0.666666667,0,0,0.5,0.333333333,0.166666667,0,0,0.666666667,0.5,0.166666667,0,0.5,0,0.166666667,0.5,0.166666667,0,0,0,0,0,0.666666667,0,0,0.833333333,0
